bugID,sd,cl,pd,co,rp,os,bs,rs,pr,bsr,clean_description,processed_text
550414,logging is limited to WARN,Tools,Objectteams,OTEquinox,PC,Linux,RESOLVED,FIXED,P3,normal,logging is limited to warn,log limited warn
550416,Undocumented Status value CLOSED,Eclipse Foundation,Community,Bugzilla,All,All,REOPENED,,P3,normal,undocumented status value closed,undocumented status value close
550417,Error launching the IDE,Eclipse Project,Platform,IDE,PC,Windows 8,RESOLVED,WONTFIX,P3,critical,error launching the ide,error launch ide
550418,[model] IllegalArgumentException below FieldData.toString() triggered by chain completion,Tools,Objectteams,OTDT,PC,Linux,RESOLVED,FIXED,P3,normal,model illegalargumentexception below fielddatatostring triggered by chain completion,model illegalargumentexception fielddatatostring trigger chain completion
550419,"""Save Resources"" dialog shown when closing RCP app and should not be",Eclipse Project,Platform,UI,PC,All,VERIFIED,FIXED,P3,normal,save resources dialog shown when closing rcp app and should not be,save resource dialog show closing rcp app
550420,WONTFIX ticket can have status RESOLVED,Eclipse Foundation,Community,Bugzilla,All,All,REOPENED,,P3,normal,wontfix ticket can have status resolved,wontfix ticket status resolve
550421,All the slaves for Releng JIPP are down,Eclipse Foundation,Community,Servers,All,All,CLOSED,FIXED,P1,blocker,all the slaves for releng jipp are down,slaves releng jipp
550422,Automatically show list for selection boxes in tables and inline graphical editors,IoT,4DIAC,4DIAC-IDE,All,All,CLOSED,FIXED,P3,enhancement,automatically show list for selection boxes in tables and inline graphical editors,automatically show list selection box table inline graphical editor
550423,Crash at creation of Combo SWT.READ_ONLY,Eclipse Project,Platform,SWT,PC,Windows 10,VERIFIED,FIXED,P3,major,crash at creation of combo swtreadonly,crash creation combo swtreadonly
550424,Solutions with EPL 2.0 are filtered out from MPC API responses,Eclipse Foundation,Community,Marketplace,All,All,RESOLVED,FIXED,P2,critical,solutions with epl 20 are filtered out from mpc api responses,solution epl filter mpc api response
550425,Add type ahead search for all combo boxes,IoT,4DIAC,4DIAC-IDE,All,All,CLOSED,FIXED,P3,enhancement,add type ahead search for all combo boxes,add type ahead search combo box
550426,AERI down?,Eclipse Foundation,Community,Servers,All,All,RESOLVED,FIXED,P3,normal,aeri down,aeri
550428,Usability Improvements for 4.14,Eclipse Project,JDT,Debug,All,All,RESOLVED,FIXED,P3,enhancement,usability improvements for 414,usability improvement
550429,Git Staging: Commit button becomes disabled and remains so,Technology,EGit,UI,PC,Linux,CLOSED,DUPLICATE,P3,normal,git staging commit button becomes disabled and remains so,git staging commit button become disabled remain
550430,"Feature request: add quick link to ""Compare with > branch_from_which_the_current_branch_originates""",Technology,EGit,Core,PC,Linux,NEW,,P3,enhancement,feature request add quick link to compare with branchfromwhichthecurrentbranchoriginates,feature request add quick link compare branchfromwhichthecurrentbranchoriginate
550431,[quick assist] Combine selected annotations into a composed annotation,Eclipse Project,JDT,UI,All,All,NEW,,P3,enhancement,quick assist combine selected annotations into a composed annotation,quick assist combine select annotation compose annotation
550432,Improve logging in org.eclipse.core.databinding,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,WONTFIX,P3,normal,improve logging in orgeclipsecoredatabinding,improve log orgeclipsecoredatabinde
550433,Plug-in start level and autostart configuration for system bundles is ignored,Eclipse Project,PDE,UI,PC,Windows 10,CLOSED,INVALID,P3,normal,plugin start level and autostart configuration for system bundles is ignored,plugin start level autostart configuration system bundle ignore
550434,Remove all p2.inf files that try to simulate the Provide-Capability manifest header,Eclipse Project,Equinox,Compendium,PC,Linux,RESOLVED,FIXED,P3,normal,remove all p2inf files that try to simulate the providecapability manifest header,remove file try simulate providecapability manifest header
550435,[C++ Gen] NullPointerException during cpp state machine generation,Modeling,Papyrus,Designer,PC,Windows 10,RESOLVED,FIXED,P3,blocker,c gen nullpointerexception during cpp state machine generation,c gen nullpointerexception cpp state machine generation
550436,Legacy tabs: processing afterTab elements leads to wrong order,Modeling,EEF,User Interface,All,All,NEW,,P3,normal,legacy tabs processing aftertab elements leads to wrong order,legacy tab process aftertab element lead wrong order
550437,Layouting issues on nabula dialog (opal) for Exception and input,Eclipse Foundation,z_Archived,Nebula,PC,Windows 10,RESOLVED,FIXED,P3,normal,layouting issues on nabula dialog opal for exception and input,layoute issue nabula dialog opal exception input
550438,Minor improvements for MultiStringMatcher,Eclipse Project,Platform,Text,All,All,RESOLVED,FIXED,P3,enhancement,minor improvements for multistringmatcher,minor improvement multistringmatcher
550439,Mark BookmarkNavigator and related API for deletion,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,mark bookmarknavigator and related api for deletion,mark bookmarknavigator relate api deletion
550440,Severe rednering bug when scrolling editor on Mac OS,Eclipse Project,Platform,SWT,PC,Mac OS X,CLOSED,DUPLICATE,P3,normal,severe rednering bug when scrolling editor on mac os,severe rednering bug scroll editor mac os
550441,[Dark Theme] Variables and Expressions View Icons too dark,Eclipse Project,Platform,Debug,PC,Windows 10,CLOSED,WONTFIX,P3,normal,dark theme variables and expressions view icons too dark,dark theme variable expression view icon dark
550442,Adding  jar for chemistry-opencmis-osgi-client-1.1.0.jar,Tools,Orbit,bundles,PC,Mac OS X,RESOLVED,WONTFIX,P3,normal,adding jar for chemistryopencmisosgiclient110jar,add jar
550443,[Model2Doc] The framework must provide a tool to create a DocumentPrototype from a DocumentTemplate,Modeling,Papyrus,Model2Doc,PC,Windows 10,RESOLVED,FIXED,P3,normal,model2doc the framework must provide a tool to create a documentprototype from a documenttemplate,framework must provide tool create documentprototype documenttemplate
550444,Showing all mailing lists is broken when logged in,Eclipse Foundation,Community,My Account,All,All,VERIFIED,FIXED,P3,major,showing all mailing lists is broken when logged in,show mailing list break log
550445,[visitors] Generated accept is not fully extensible.,Modeling,OCL,Core,PC,Windows 10,RESOLVED,FIXED,P3,normal,visitors generated accept is not fully extensible,visitor generate accept fully extensible
550446,[C++ Gen] Non initialized property causing execution error,Modeling,Papyrus,Designer,PC,Windows 10,RESOLVED,FIXED,P3,normal,c gen non initialized property causing execution error,c gen non initialize property cause execution error
550448,[C++ Gen] State machine code generation with empty loop causes execution issues,Modeling,Papyrus,Designer,PC,Windows 10,RESOLVED,FIXED,P3,normal,c gen state machine code generation with empty loop causes execution issues,c gen state machine code generation empty loop cause execution issue
550449,[release] rt.jetty 10.0.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release rtjetty 1000,release rtjetty
550451,[quick assist][rulers] Quick Assist light bulb no longer works,Eclipse Project,JDT,Text,All,All,VERIFIED,FIXED,P3,major,quick assistrulers quick assist light bulb no longer works,quick assistruler quick assist light bulb long work
550452,Cannot publish local branch to Github,Eclipse Foundation,Community,GitHub,PC,Windows 7,CLOSED,WORKSFORME,P3,normal,cannot publish local branch to github,publish local branch github
550453,Performance loss in Composite.WM_paint(),Eclipse Project,Platform,SWT,PC,Windows NT,NEW,,P1,blocker,performance loss in compositewmpaint,performance loss compositewmpaint
550454,tmf: java.lang.IllegalArgumentException in state system explorer for experiment with 1 empty trace,Tools,Tracecompass,TMF,PC,Linux,RESOLVED,FIXED,P3,normal,tmf javalangillegalargumentexception in state system explorer for experiment with 1 empty trace,tmf javalangillegalargumentexception state system explorer experiment empty trace
550455,[release] ee4j.jakartaee-platform 8.0.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release ee4jjakartaeeplatform 800,release
550456,[release] ee4j.faces 2.3.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release ee4jfaces 230,release
550457,Update latest Java release version for JavaSE_10_Plus,Eclipse Project,JDT,Debug,All,All,VERIFIED,FIXED,P3,normal,update latest java release version for javase10plus,update late java release version
550458,Eclipse 4.13 prerequisites for RC1: Orbit,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,eclipse 413 prerequisites for rc1 orbit,eclipse prerequisite orbit
550459,Nightly Build IDE Update Error,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,nightly build ide update error,nightly build ide update error
550461,"Remove info message ""... was detected to be hosted by a Gerrit server""",Technology,EGit,UI,PC,Linux,RESOLVED,FIXED,P3,normal,remove info message was detected to be hosted by a gerrit server,remove info message detect hosted gerrit server
550462,Remove 3.4 preference migration in org.eclipse.equinox.p2.ui.sdk.scheduler,Eclipse Project,Equinox,p2,PC,Linux,RESOLVED,FIXED,P3,normal,remove 34 preference migration in orgeclipseequinoxp2uisdkscheduler,remove preference migration
550463,Supported tags,Eclipse Foundation,Community,Bugzilla,All,All,VERIFIED,FIXED,P3,normal,supported tags,support tag
550464,[performance] Filtering plugins in About dialog is slow,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,FIXED,P3,minor,performance filtering plugins in about dialog is slow,performance filtering plugin dialog slow
550465,Sonar related build problem in CapellaStudio,Eclipse Foundation,Community,Sonar,PC,Windows 10,CLOSED,WONTFIX,P3,normal,sonar related build problem in capellastudio,sonar relate build problem capellastudio
550466,Drop Shell editor modules,Eclipse Foundation,z_Archived,DLTK,PC,Linux,RESOLVED,FIXED,P3,normal,drop shell editor modules,drop shell editor module
550467,Capella - [XHTMLDocGen] static character encoding for the generated pages,Eclipse Foundation,Community,Website,PC,Windows 10,CLOSED,MOVED,P3,normal,capella xhtmldocgen static character encoding for the generated pages,capella xhtmldocgen static character encoding generate page
550468,Update Base builder from 4.13 RC1 to build 4.13 RC2,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,update base builder from 413 rc1 to build 413 rc2,update base builder build
550469,Deploy ecj compiler from 4.13 RC1 and use it for 4.13 RC2 build,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,deploy ecj compiler from 413 rc1 and use it for 413 rc2 build,deploy ecj compiler use build
550470,[14] Infrastructure Support for Java 14,Eclipse Project,JDT,Core,All,All,RESOLVED,FIXED,P1,enhancement,14 infrastructure support for java 14,infrastructure support java
550471,Improve and deprecate TextUtilities.indexOf,Eclipse Project,Platform,Text,All,All,RESOLVED,FIXED,P3,normal,improve and deprecate textutilitiesindexof,improve deprecate textutilitiesindexof
550472,"ArrayStoreException in indexer, eventually causes indexer to shut down",Tools,CDT,cdt-indexer,PC,Linux,CLOSED,DUPLICATE,P3,major,arraystoreexception in indexer eventually causes indexer to shut down,arraystoreexception indexer eventually cause indexer shut
550473,Add faster nextDelimiter utility method,Eclipse Project,Platform,Text,All,All,RESOLVED,FIXED,P3,enhancement,add faster nextdelimiter utility method,add fast nextdelimiter utility method
550474,Linuxtools GCov incorrectly interprets data files generated by gcc version 9.1,Tools,Linux Tools,GCov,PC,Linux,RESOLVED,FIXED,P3,major,linuxtools gcov incorrectly interprets data files generated by gcc version 91,linuxtool gcov incorrectly interpret data file generate gcc version
550475,Enhance support to disable event handling in GlazedListsEventLayer,Technology,NatTable,GlazedLists Extension,PC,Windows 10,CLOSED,FIXED,P3,enhancement,enhance support to disable event handling in glazedlistseventlayer,enhance support disable event handle glazedlistseventlayer
550476,Remove .project files from apitools/org.eclipse.pde.api.tools.tests/test-builder data,Eclipse Project,PDE,UI,PC,Linux,RESOLVED,WONTFIX,P3,normal,remove project files from apitoolsorgeclipsepdeapitoolsteststestbuilder data,remove project file apitoolsorgeclipsepdeapitoolsteststestbuilder datum
550478,DAP based breakpoints are interferring with normal CDT breakpoints,Technology,lsp4e,Debug Adapter Protocol,PC,Linux,RESOLVED,FIXED,P3,blocker,dap based breakpoints are interferring with normal cdt breakpoints,dap base breakpoint interferre normal cdt breakpoint
550479,show users the configured runtime,IoT,4DIAC,4DIAC-IDE,All,All,CLOSED,FIXED,P3,normal,show users the configured runtime,show user configure runtime
550480,ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException - part 2,Eclipse Project,JDT,Core,All,All,VERIFIED,FIXED,P3,normal,classfileaddfieldinfos throws arrayindexoutofboundsexception part 2,classfileaddfieldinfos throw arrayindexoutofboundsexception part
550481,Grant access to projects storage service to the Jenkins instance of project Eclipse Kuksa,Eclipse Foundation,Community,CI-Jenkins,PC,Windows 10,CLOSED,FIXED,P3,normal,grant access to projects storage service to the jenkins instance of project eclipse kuksa,grant access project storage service jenkin instance project eclipse kuksa
550482,Use shorter restart text after installation,Eclipse Project,Equinox,p2,PC,Linux,RESOLVED,FIXED,P3,normal,use shorter restart text after installation,use short restart text installation
550483,Add filter icon to project explorer toolbar,Eclipse Project,Platform,UI,PC,All,CLOSED,DUPLICATE,P3,enhancement,add filter icon to project explorer toolbar,add filter icon project explorer toolbar
550484,Managing alerts for vulnerability - Codewind,Eclipse Foundation,Community,GitHub,All,All,CLOSED,FIXED,P3,critical,managing alerts for vulnerability codewind,manage alert vulnerability codewind
550485,Upload file size limit is incorrect,Eclipse Foundation,Community,Bugzilla,PC,Mac OS X,RESOLVED,FIXED,P3,normal,upload file size limit is incorrect,upload file size limit incorrect
550486,Text editor status line shows selection size even after disabling the preference,Eclipse Project,Platform,Text,All,All,VERIFIED,FIXED,P3,normal,text editor status line shows selection size even after disabling the preference,text editor status line show selection size even disable preference
550488,Codewind build with docker build agent is failed with 'no space left on device' message,Eclipse Foundation,Community,CI-Jenkins,All,All,CLOSED,FIXED,P3,blocker,codewind build with docker build agent is failed with no space left on device message,codewind build docker build agent fail space leave device message
550490,[metatype] avoid reloading the same ResourceBundle multiple times,Eclipse Project,Equinox,Compendium,PC,Mac OS X,RESOLVED,FIXED,P3,normal,metatype avoid reloading the same resourcebundle multiple times,metatype avoid reload resourcebundle multiple time
550491,Tune Gerrit cache settings,Eclipse Foundation,Community,Gerrit,PC,Mac OS X,NEW,,P3,normal,tune gerrit cache settings,tune gerrit cache setting
550492,[content assist] Null pointer exception in the code autocomplete in ChainCompletionProposalComputer,Eclipse Project,JDT,UI,Macintosh,Mac OS X,VERIFIED,FIXED,P3,major,content assist null pointer exception in the code autocomplete in chaincompletionproposalcomputer,content assist null pointer exception code autocomplete chaincompletionproposalcomputer
550493,Support BouncyCastleFipsProvider for GPG related code,Technology,JGit,JGit,All,All,NEW,,P3,normal,support bouncycastlefipsprovider for gpg related code,support bouncycastlefipsprovider gpg relate code
550494,NullPointerException compiling aspect using @DeclareParents to implement interface,Tools,AspectJ,Compiler,PC,Windows 10,RESOLVED,FIXED,P3,normal,nullpointerexception compiling aspect using declareparents to implement interface,nullpointerexception compile aspect use declareparent implement interface
550495,502 error in jenkins build,Eclipse Foundation,Community,CI-Jenkins,PC,Windows 10,CLOSED,WORKSFORME,P3,critical,502 error in jenkins build,error jenkin build
550497,Readme file for 4.13,Eclipse Project,Platform,Releng,All,All,VERIFIED,FIXED,P3,normal,readme file for 413,readme file
550498,N&N for 4.13,Eclipse Project,Platform,Releng,PC,Mac OS X,VERIFIED,FIXED,P3,normal,nn for 413,nn
550499,Do the Javadoc bash for 4.13,Eclipse Project,Platform,SWT,PC,All,VERIFIED,FIXED,P3,normal,do the javadoc bash for 413,javadoc bash
550501,[GTK] Ability to place not digit characters to DateTime,Eclipse Project,Platform,SWT,PC,Linux,VERIFIED,FIXED,P3,normal,gtk ability to place not digit characters to datetime,gtk ability place digit character datetime
550503,[14] Support for Java 14,Eclipse Project,JDT,Core,PC,Windows 7,RESOLVED,DUPLICATE,P3,normal,14 support for java 14,support java
550504,[14] JEP 359 : Records (Preview),Eclipse Project,JDT,Core,PC,Windows 7,RESOLVED,FIXED,P1,enhancement,14 jep 359 records preview,jep record preview
550505,[15] JEP 360: Sealed Types (Preview),Eclipse Project,JDT,Core,PC,Windows 7,RESOLVED,FIXED,P3,enhancement,15 jep 360 sealed types preview,jep seal type preview
550506,Investigate freeze on clicking on tracing tab of Launch Configuration Dialog,Eclipse Project,PDE,UI,PC,Windows 7,NEW,,P3,normal,investigate freeze on clicking on tracing tab of launch configuration dialog,investigate freeze clicking trace tab launch configuration dialog
550507,Menu icons are not shown at proper position,Eclipse Project,Platform,SWT,PC,Linux,CLOSED,WONTFIX,P3,minor,menu icons are not shown at proper position,menu icon show proper position
550508,[Refactor] Move ConvertAnonymousToNestedRefactoring into jdt.core.manipulation for the use of jdt.ls,Eclipse Project,JDT,UI,PC,Mac OS X,RESOLVED,FIXED,P3,normal,refactor move convertanonymoustonestedrefactoring into jdtcoremanipulation for the use of jdtls,refactor move convertanonymoustonestedrefactoring jdtcoremanipulation use jdtls
550509,"Wrong ""No return"" warning",Tools,CDT,cdt-codan,PC,Windows 10,CLOSED,DUPLICATE,P3,normal,wrong no return warning,wrong return warning
550510,[AF][Doc] The documentation concerning switch of architecture viewpoint should be modified,Modeling,Papyrus,Core,All,All,ASSIGNED,,P3,normal,afdoc the documentation concerning switch of architecture viewpoint should be modified,afdoc documentation concern switch architecture viewpoint modify
550511,JIPP Request for project Che4z,Eclipse Foundation,Community,CI-Jenkins,PC,CentOS,CLOSED,DUPLICATE,P3,normal,jipp request for project che4z,jipp request project
550512,JIPP Request for project Che4z,Eclipse Foundation,Community,CI-Jenkins,PC,CentOS,CLOSED,FIXED,P3,normal,jipp request for project che4z,jipp request project
550513,StagingView: catch RuntimeExceptions during commit,Technology,EGit,UI,All,All,RESOLVED,FIXED,P3,normal,stagingview catch runtimeexceptions during commit,stagingview catch runtimeexception commit
550514,[Model2Doc] change required feature into dependent feature,Modeling,Papyrus,Model2Doc,PC,Windows 10,NEW,,P3,normal,model2doc change required feature into dependent feature,change require feature dependent feature
550515,[Model2Doc] The bundle tests don't found the Model2Doc plugins on hudson to check them,Modeling,Papyrus,Model2Doc,PC,Windows 10,CLOSED,FIXED,P3,normal,model2doc the bundle tests dont found the model2doc plugins on hudson to check them,bundle test do not find plugin hudson check
550516,Create JDT and Platform porting guides for 4.13 and update links in Welcome page,Eclipse Project,Platform,Doc,PC,All,RESOLVED,FIXED,P3,normal,create jdt and platform porting guides for 413 and update links in welcome page,create jdt platform porting guide update link welcome page
550517,[GTK3] Swing components keep the focus when coming back to SWT widgets,Eclipse Project,Platform,SWT,PC,Linux,VERIFIED,FIXED,P3,critical,gtk3 swing components keep the focus when coming back to swt widgets,swing component keep focus come back swt widget
550518,"[13] Remove JCP disclaimers from code, UI and marketplace",Eclipse Project,JDT,Core,PC,Windows 7,RESOLVED,FIXED,P3,normal,13 remove jcp disclaimers from code ui and marketplace,remove jcp disclaimer code ui marketplace
550519,Eclipse IDE for Java EE Developers NEON 4.6 - Maven project,Technology,EPP,jee-package,PC,Windows 10,NEW,,P3,critical,eclipse ide for java ee developers neon 46 maven project,eclipse ide java ee developer neon maven project
550520,[Table] Papyrus must provide a tools to create easily a TableConfiguration from an existing Table,Modeling,Papyrus,Table,PC,Windows 10,NEW,,P3,normal,table papyrus must provide a tools to create easily a tableconfiguration from an existing table,table papyrus must provide tool create easily tableconfiguration exist table
550521,`variables` invoked too many times and lead to too many request and potentially erroneous display,Technology,lsp4e,Debug Adapter Protocol,All,All,RESOLVED,FIXED,P3,normal,variables invoked too many times and lead to too many request and potentially erroneous display,variable invoke many time lead many request potentially erroneous display
550522,[13] Create examples wiki page,Eclipse Project,JDT,Core,PC,Windows 7,RESOLVED,FIXED,P3,normal,13 create examples wiki page,create example wiki page
550523,4.13 Acknowledgements,Eclipse Project,Platform,Releng,PC,Windows 7,RESOLVED,FIXED,P3,normal,413 acknowledgements,acknowledgement
550524,Using EE 11 or 12 with JRE 13 and no module-info.java results in compile error (Object not found),Eclipse Project,JDT,Core,PC,Windows 7,VERIFIED,FIXED,P3,blocker,using ee 11 or 12 with jre 13 and no moduleinfojava results in compile error object not found,use ee jre moduleinfojava results compile error object find
550525,"[freeRTOS] Timer is using posix timer, which is not always available",IoT,4DIAC,FORTE,PC,Windows 10,CLOSED,FIXED,P3,normal,freertos timer is using posix timer which is not always available,freerto timer use posix timer always available
550526,Fatal error during semantic analysis of recursive ASN.1 type,Eclipse Foundation,z_Archived,titan.core,All,All,CLOSED,FIXED,P3,normal,fatal error during semantic analysis of recursive asn1 type,fatal error semantic analysis recursive type
550527,"When dragging/scrolling in the calendar of a DateField, pressing ESC will cause a UI error",Eclipse Foundation,z_Archived,Scout,PC,Windows 10,CLOSED,FIXED,P3,minor,when draggingscrolling in the calendar of a datefield pressing esc will cause a ui error,draggingscrolle calendar datefield press esc cause ui error
550528,Incorrect float2str result,Eclipse Foundation,z_Archived,titan.core,PC,Windows 10,CLOSED,FIXED,P3,normal,incorrect float2str result,incorrect result
550529,org.eclipse.jgit.nls.NLS creates still a memory leak,Technology,JGit,JGit,PC,Unix All,RESOLVED,FIXED,P3,normal,orgeclipsejgitnlsnls creates still a memory leak,orgeclipsejgitnlsnls create still memory leak
550530,Allow ports on mqtt.eclipse.org vserver,Eclipse Foundation,Community,vservers,PC,Linux,RESOLVED,FIXED,P3,normal,allow ports on mqtteclipseorg vserver,allow port mqtteclipseorg vserver
550532,while enter the invalid id does not show the error message,Tools,CDT,cdt-codan,PC,Windows 10,NEW,,P3,normal,while enter the invalid id does not show the error message,enter invalid i d show error message
550533,Opening the datepicker with the button is not working after picker is closed via the button,Eclipse Foundation,z_Archived,Nebula,PC,Windows 10,RESOLVED,FIXED,P3,normal,opening the datepicker with the button is not working after picker is closed via the button,opening datepicker button work picker close via button
550534,Crash when opening Code Style Formatter in CDT,Eclipse Project,Platform,SWT,PC,Linux,NEW,,P3,normal,crash when opening code style formatter in cdt,crash open code style formatter cdt
550535,"[AF] When switch viewpoints, the editors not managed by current viewpoints must be closed",Modeling,Papyrus,Core,All,All,ASSIGNED,,P3,normal,af when switch viewpoints the editors not managed by current viewpoints must be closed,af switch viewpoint editor manage current viewpoint must closed
550537,Add contributing entry to help menu,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,normal,add contributing entry to help menu,add contribute entry help menu
550538,"Actions pane on the Context tab is too small, and cannot be resized",Mylyn,Mylyn,Tasks,PC,Windows 7,CLOSED,DUPLICATE,P3,normal,actions pane on the context tab is too small and cannot be resized,action pane context tab small resize
550539,"""Save Resources"" dialog - new button name causing confusion",Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,WORKSFORME,P3,normal,save resources dialog new button name causing confusion,save resource dialog new button name cause confusion
550541,MWE and JIRO,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,mwe and jiro,mwe jiro
550542,Stored procedures not supporting named parameters for Oracle,EE4J,EclipseLink,JPA,PC,Windows 10,RESOLVED,FIXED,P3,normal,stored procedures not supporting named parameters for oracle,store procedure support name parameter oracle
550543,NPE in tycho pomless aggregation,Eclipse Foundation,z_Archived,Tycho,All,All,RESOLVED,FIXED,P3,normal,npe in tycho pomless aggregation,npe tycho pomless aggregation
550544,Babel server is not ready for PHP 7,Technology,Babel,Server,PC,Windows 10,RESOLVED,FIXED,P3,normal,babel server is not ready for php 7,babel server ready php
550545,MAT macOS binaries should be signed for apple's gatekeeper,Tools,MAT,Core,Macintosh,Mac OS X,RESOLVED,FIXED,P3,normal,mat macos binaries should be signed for apples gatekeeper,mat macos binary sign apple gatekeeper
550546,Java heap space error - eclipse exits,Eclipse Foundation,z_Archived,m2e,PC,Mac OS X,NEW,,P3,normal,java heap space error eclipse exits,java heap space error eclipse exit
550547,Declare 4.13 RC1,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,declare 413 rc1,declare
550548,Remove activator from org.eclipse.core.filesystem,Eclipse Project,Platform,Resources,PC,Linux,RESOLVED,FIXED,P3,normal,remove activator from orgeclipsecorefilesystem,remove activator orgeclipsecorefilesystem
550549,Tycho should support mirroring/inclusion of target platforms in the target artifact,Eclipse Foundation,z_Archived,Tycho,PC,Linux,NEW,,P3,enhancement,tycho should support mirroringinclusion of target platforms in the target artifact,tycho support mirroringinclusion target platform target artifact
550550,Remove activator from org.eclipse.e4.tools.preference.spy,Eclipse Project,e4,UI,PC,Linux,CLOSED,WONTFIX,P3,normal,remove activator from orgeclipsee4toolspreferencespy,remove activator
550551,Provide access to bundle preference store outside AbstractUIPlugin,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,provide access to bundle preference store outside abstractuiplugin,provide access bundle preference store outside abstractuiplugin
550552,Please remove tools.shellwax bugzilla component,Eclipse Foundation,Community,Bugzilla,PC,Linux,CLOSED,FIXED,P3,normal,please remove toolsshellwax bugzilla component,please remove toolsshellwax bugzilla component
550553,[JAWS] checked state not read correctly for CheckboxTableViewer,Eclipse Project,Platform,UI,PC,Windows 10,CLOSED,WONTFIX,P3,normal,jaws checked state not read correctly for checkboxtableviewer,jaw check state read correctly checkboxtableviewer
550554,Incremental builder stops showing squiggles,Eclipse Project,JDT,Core,PC,Windows 10,VERIFIED,FIXED,P3,normal,incremental builder stops showing squiggles,incremental builder stop show squiggle
550555,org.eclipse.swt.SWTError: No more handles error when 10K Hyperlinks are created,Eclipse Project,Platform,SWT,PC,Windows 10,CLOSED,WONTFIX,P3,critical,orgeclipseswtswterror no more handles error when 10k hyperlinks are created,orgeclipseswtswterror handle error hyperlink create
550557,Unable to run junit tests from context menu,Eclipse Project,PDE,UI,PC,All,RESOLVED,INVALID,P3,major,unable to run junit tests from context menu,unable run junit test context menu
550558,[room.ui] Unresolved elements cause error popup in editor,Modeling,eTrice,UserInterface,PC,Windows 10,RESOLVED,FIXED,P3,normal,roomui unresolved elements cause error popup in editor,roomui unresolved element cause error popup editor
550559,"No Error for Transition Event as ""None"" without any condition",IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,no error for transition event as none without any condition,error transition event none without condition
550560,Rename dialog shown after inline editing,Eclipse Project,Platform,UI,All,All,VERIFIED,FIXED,P3,normal,rename dialog shown after inline editing,rename dialog show inline edit
550561,[13] Text Block: Handle tabs in text Block in the editor,Eclipse Project,JDT,UI,PC,All,CLOSED,DUPLICATE,P3,normal,13 text block handle tabs in text block in the editor,text block handle tab text block editor
550562,Allow custom fonts in TimeGraphControl,Tools,Tracecompass,Core,All,All,UNCONFIRMED,,P3,normal,allow custom fonts in timegraphcontrol,allow custom font timegraphcontrol
550563,Undocumented Status value NEW,Eclipse Foundation,Community,Bugzilla,All,All,REOPENED,,P3,normal,undocumented status value new,undocumented status value new
550564,Please make glassfishrobot admin of https://github.com/eclipse-ee4j/jta-api,Eclipse Foundation,Community,GitHub,PC,Mac OS X,CLOSED,WORKSFORME,P3,major,please make glassfishrobot admin of httpsgithubcomeclipseee4jjtaapi,please make glassfishrobot admin
550565,Request to delete branch on scout/org.eclipse.scout.rt,Eclipse Foundation,Community,Git,All,Windows 10,RESOLVED,FIXED,P3,normal,request to delete branch on scoutorgeclipsescoutrt,request delete branch scoutorgeclipsescoutrt
550566,Access to Eclipse Packager staging repository on Maven Central,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,access to eclipse packager staging repository on maven central,access eclipse packager stage repository maven central
550567,[AF] Diagrams and tables should be visible even if its viewpoint is not enable,Modeling,Papyrus,Core,All,All,NEW,,P3,normal,af diagrams and tables should be visible even if its viewpoint is not enable,af diagrams table visible even viewpoint enable
550568,[AF] The diagrams and tables icons of disabled viewpoint should be grayed,Modeling,Papyrus,Core,All,All,NEW,,P3,normal,af the diagrams and tables icons of disabled viewpoint should be grayed,af diagrams table icon disabled viewpoint gray
550569,[AF] Double-click on diagrams and tables icons of disabled viewpoint should open a dialog to enable viewpoint,Modeling,Papyrus,Core,All,All,NEW,,P3,normal,af doubleclick on diagrams and tables icons of disabled viewpoint should open a dialog to enable viewpoint,af doubleclick diagrams table icon disabled viewpoint open dialog enable viewpoint
550570,Auto-share sets session property org.eclipse.team.core:repository for project at git ignored location,Technology,EGit,Core,PC,Linux,CLOSED,WONTFIX,P3,normal,autoshare sets session property orgeclipseteamcorerepository for project at git ignored location,autoshare set session property orgeclipseteamcorerepository project git ignore location
