bugID,sd,cl,pd,co,rp,os,bs,rs,pr,bsr,clean_description
552782,[pivot] Extend FlowAnalysis to bad Collection indexes / divide-by-zero,Modeling,OCL,Core,PC,Windows 10,RESOLVED,DUPLICATE,P3,normal,pivot extend flowanalysis to bad collection indexes dividebyzero
552783,[Moka] When there is no server specified in preference the wrong preference page is open,Modeling,Papyrus,Moka,PC,Linux,CLOSED,FIXED,P3,normal,moka when there is no server specified in preference the wrong preference page is open
552784,The handling of JAVA_HOME is broken in /org.eclipse.oomph.jreinfo.lib/src/jreinfo.c,Tools,Oomph,Setup,PC,Windows 7,RESOLVED,FIXED,P3,normal,the handling of javahome is broken in orgeclipseoomphjreinfolibsrcjreinfoc
552785,Please make http://fog05.io point to the github pages,Eclipse Foundation,Community,Website,PC,Mac OS X,CLOSED,FIXED,P3,normal,please make httpfog05io point to the github pages
552786,Combobox Letter Lookahead does not select properly,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,combobox letter lookahead does not select properly
552787,ThemeEngine.setTheme slow,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,themeenginesettheme slow
552788,PluginModelManager.getEntryTable is slow,Eclipse Project,PDE,UI,PC,Linux,NEW,,P3,normal,pluginmodelmanagergetentrytable is slow
552789,[GTK] org.eclipse.swt.widgets.Display.gtk_css_parse_foreground sticks out in Yourkit,Eclipse Project,Platform,SWT,PC,Linux,RESOLVED,WORKSFORME,P3,normal,gtk orgeclipseswtwidgetsdisplaygtkcssparseforeground sticks out in yourkit
552790,Remove usage of StringTokenizer in CSSOneOfAttributeConditionImpl,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,WONTFIX,P3,normal,remove usage of stringtokenizer in cssoneofattributeconditionimpl
552791,Its unclear what 'surefire.properties' does,Eclipse Foundation,z_Archived,Tycho,PC,Linux,CLOSED,WONTFIX,P3,normal,its unclear what surefireproperties does
552792,[metatype] Persistence StackOverflowError when reading Double,Eclipse Project,Equinox,Components,All,All,RESOLVED,FIXED,P3,blocker,metatype persistence stackoverflowerror when reading double
552793,[Dark theme] Remove special styling for Text[style~='SWT.DROP_DOWN'] and Text[style~='SWT.POP_UP'],Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove special styling for textstyleswtdropdown and textstyleswtpopup
552794,"Add a monitoring tools used to display telemetry, raise notification and alarms",Technology,Apogy,General,All,All,CLOSED,FIXED,P3,enhancement,add a monitoring tools used to display telemetry raise notification and alarms
552795,Add Fiter button to JUnit view and move Show Failure and Show Skipped Failures Only to it,Eclipse Project,JDT,UI,PC,Linux,NEW,,P3,normal,add fiter button to junit view and move show failure and show skipped failures only to it
552796,[Passage] Server could not bind a conditional transport properlly,Technology,Passage,General,All,All,RESOLVED,FIXED,P3,normal,passage server could not bind a conditional transport properlly
552797,[GTK3] Shell flickering around edges when first popped up,Eclipse Project,Platform,SWT,PC,Linux,NEW,,P3,normal,gtk3 shell flickering around edges when first popped up
552798,jaxb2-maven-plugin incorrect path on macOS,Eclipse Foundation,z_Archived,m2e,Macintosh,Mac OS X,CLOSED,NOT_ECLIPSE,P3,normal,jaxb2mavenplugin incorrect path on macos
552799,Please protect some branches in openj9 and openj9-omr repos,Eclipse Foundation,Community,GitHub,PC,Windows 10,CLOSED,FIXED,P3,normal,please protect some branches in openj9 and openj9omr repos
552800,[Moka] When remove debug assistant in customization the exception is still send,Modeling,Papyrus,Moka,PC,Linux,CLOSED,FIXED,P3,normal,moka when remove debug assistant in customization the exception is still send
552801,400 Bad Request Request Header Or Cookie Too Large,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,DUPLICATE,P3,normal,400 bad request request header or cookie too large
552802,Failed to write core dump. Minidumps are not enabled by default on client versions of Windows,Eclipse Foundation,z_Archived,WindowBuilder,PC,Windows 10,RESOLVED,DUPLICATE,P3,normal,failed to write core dump minidumps are not enabled by default on client versions of windows
552803,NPE in bundled image check,Modeling,Sirius,Diagram,PC,All,CLOSED,FIXED,P3,normal,npe in bundled image check
552804,Please add this event to the events.eclipse.org page,Eclipse Foundation,z_Archived,Events.eclipse.org,PC,Mac OS X,RESOLVED,FIXED,P3,normal,please add this event to the eventseclipseorg page
552805,[proposal] technology.skills,Eclipse Foundation,Community,Proposals and Reviews,PC,Linux,RESOLVED,FIXED,P3,normal,proposal technologyskills
552806,[mentor] Mentor required for Eclipse Skills,Eclipse Foundation,Community,Architecture Council,PC,Linux,CLOSED,FIXED,P3,normal,mentor mentor required for eclipse skills
552807,[trademark] Trademark approval required for Eclipse Skills,Eclipse Foundation,Community,EMO Approvals,PC,Linux,RESOLVED,FIXED,P3,normal,trademark trademark approval required for eclipse skills
552808,[proposal] iot.streamsheets,Eclipse Foundation,Community,Proposals and Reviews,PC,Mac OS X,NEW,,P3,normal,proposal iotstreamsheets
552809,[mentor] Mentor required for Eclipse Streamsheets,Eclipse Foundation,Community,Architecture Council,PC,Mac OS X,RESOLVED,FIXED,P3,normal,mentor mentor required for eclipse streamsheets
552810,[trademark] Trademark approval required for Eclipse Streamsheets,Eclipse Foundation,Community,EMO Approvals,PC,Mac OS X,CLOSED,FIXED,P3,normal,trademark trademark approval required for eclipse streamsheets
552811,[TextViewer] shift left broken for mixed lines if empty prefix is allowed,Eclipse Project,Platform,Text,All,All,RESOLVED,FIXED,P3,normal,textviewer shift left broken for mixed lines if empty prefix is allowed
552812,Comment and type disappears in interface editor,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,normal,comment and type disappears in interface editor
552813,Preferences dialog opens with last selected page at the top of the tree and no visible scrollbar,Eclipse Project,Platform,UI,PC,Mac OS X,NEW,,P3,normal,preferences dialog opens with last selected page at the top of the tree and no visible scrollbar
552814,[Dark theme] Use consistent styling for active and non active parts,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme use consistent styling for active and non active parts
552815,[Dark theme] Remove special styling for TargetPlatformState,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove special styling for targetplatformstate
552816,[Dark Theme] Remove #org-eclipse-e4-ui-compatibility-editor .MPart rule,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove orgeclipsee4uicompatibilityeditor mpart rule
552817,[Dark Theme] Simplify Form styling,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme simplify form styling
552818,[Dark theme] Remove or move ScriptDisplayView from platform dark theme,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove or move scriptdisplayview from platform dark theme
552819,[Passage] org.eclipse.passage.lic.api.access.AccessManager#examinePermissons method name contains typo,Technology,Passage,General,All,All,RESOLVED,FIXED,P3,minor,passage orgeclipsepassagelicapiaccessaccessmanagerexaminepermissons method name contains typo
552820,Please remove the cdo.hibernate and cdo.objy bugzilla components,Eclipse Foundation,Community,Bugzilla,PC,Windows 7,CLOSED,FIXED,P3,normal,please remove the cdohibernate and cdoobjy bugzilla components
552821,Use pomless builds in eclipse.platform.swt,Eclipse Project,Platform,SWT,PC,Linux,CLOSED,WONTFIX,P3,normal,use pomless builds in eclipseplatformswt
552822,[Win32][Cocoa] Cursor to click 'x' to clear search text should be mouse arrow and not a caret,Eclipse Project,Platform,SWT,PC,All,VERIFIED,FIXED,P3,normal,win32cocoa cursor to click x to clear search text should be mouse arrow and not a caret
552823,[qvtr2qvts] Support when predicate logic,Modeling,QVTd,Core,PC,Windows 10,NEW,,P3,normal,qvtr2qvts support when predicate logic
552824,"Reduce the text in ""Open the perspective which is asso....""",Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,reduce the text in open the perspective which is asso
552825,address of TLS variable is wrong,Tools,TCF,Agent,PC,Linux,RESOLVED,FIXED,P3,normal,address of tls variable is wrong
552826,[GTK3] Dead-lock in OS._pango_cairo_show_layout,Eclipse Project,Platform,SWT,PC,Linux,NEW,,P3,major,gtk3 deadlock in ospangocairoshowlayout
552828,[14] [test] LeakTestsBefore9 failures,Eclipse Project,JDT,Core,PC,Mac OS X,CLOSED,DUPLICATE,P3,normal,14 test leaktestsbefore9 failures
552830,[GTK] Content assist and debug hover pop-ups lose content on scroll after resize,Eclipse Project,Platform,SWT,PC,Linux,VERIFIED,FIXED,P3,normal,gtk content assist and debug hover popups lose content on scroll after resize
552831,"Stop publishing and remove EEs for non LTS versions. Limit to Java 11, 13, 14 for now.",Eclipse Foundation,z_Archived,Tycho,PC,Linux,RESOLVED,FIXED,P3,normal,stop publishing and remove ees for non lts versions limit to java 11 13 14 for now
552832,"PDE api-tools in CI build (only CI, not local) report erroneous API Errors",Eclipse Project,Platform,Releng,All,All,NEW,,P3,blocker,pde apitools in ci build only ci not local report erroneous api errors
552833,OSSRH setup for project GLSP,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,ossrh setup for project glsp
552834,Run Platform build with Java 11,Eclipse Project,Platform,Releng,PC,Windows 10,RESOLVED,FIXED,P3,normal,run platform build with java 11
552835,SWTException on diagram refresh,Modeling,Sirius,Diagram,PC,Windows 10,NEW,,P3,normal,swtexception on diagram refresh
552836,Race condition in shutdown sequence of *Runner.c causes seg fault,Modeling,eTrice,Runtime,PC,Windows 10,RESOLVED,FIXED,P3,normal,race condition in shutdown sequence of runnerc causes seg fault
552838,Allow EGit use of external diftools defined in .gitattributes,Technology,EGit,UI,PC,All,NEW,,P3,enhancement,allow egit use of external diftools defined in gitattributes
552839,Deleting the container of semantic element of a representation do not close the editor,Modeling,Sirius,Diagram,PC,Windows 10,CLOSED,FIXED,P3,normal,deleting the container of semantic element of a representation do not close the editor
552840,Teach JGit to handle external difftools defined in .gitattributes,Technology,JGit,JGit,PC,All,NEW,,P3,enhancement,teach jgit to handle external difftools defined in gitattributes
552841,Disabling CDI support through pom.xml doesnt work with just a maven update,Eclipse Foundation,z_Archived,m2e,PC,Windows 10,CLOSED,NOT_ECLIPSE,P3,normal,disabling cdi support through pomxml doesnt work with just a maven update
552842,"Eclipse crash with access violation (0xc0000005) in module name: MSCTF.dll, version: 10.0.17134.1038, time stamp: 0x3ed186d7",Eclipse Project,Platform,IDE,PC,Windows 10,CLOSED,DUPLICATE,P3,critical,eclipse crash with access violation 0xc0000005 in module name msctfdll version 100171341038 time stamp 0x3ed186d7
552843,Filter UI options for no longer supported JVMs,Eclipse Project,JDT,UI,All,All,ASSIGNED,,P3,enhancement,filter ui options for no longer supported jvms
552844,[Diagram][Copy/Paste] Diagrams are not copied correctly on copy of a container owning diagrams,Modeling,Papyrus,Diagram,All,All,ASSIGNED,,P3,critical,diagramcopypaste diagrams are not copied correctly on copy of a container owning diagrams
552846,[Moka][CompositeStructure] When moka incubations are installed we can not create connectors between 2 ports,Modeling,Papyrus,Moka,PC,Linux,NEW,,P3,normal,mokacompositestructure when moka incubations are installed we can not create connectors between 2 ports
552847,Problem with Trace Compass UbuntuTest node,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,problem with trace compass ubuntutest node
552849,ChainCompletionProposalComputer runs forever in 3 threads without any UI hint,Eclipse Project,JDT,UI,All,All,VERIFIED,FIXED,P3,major,chaincompletionproposalcomputer runs forever in 3 threads without any ui hint
552851,Report GMF fix concerning Fonts broken on Export to Image and Printing of bug 312723 in class copied in Sirius,Modeling,Sirius,Diagram,PC,Linux,CLOSED,FIXED,P3,normal,report gmf fix concerning fonts broken on export to image and printing of bug 312723 in class copied in sirius
552852,[Categorization] ViewModelContext leaks in tab renderings,Modeling,ECP,EMF Forms,All,All,RESOLVED,FIXED,P2,major,categorization viewmodelcontext leaks in tab renderings
552853,[qvtr] Tidy the CollectionTemplateExp synthesis,Modeling,QVTd,Core,PC,Windows 10,NEW,,P3,normal,qvtr tidy the collectiontemplateexp synthesis
552854,[GTK] Ctrl+O/Ctrl+3 dialogs have shell decorations,Eclipse Project,Platform,UI,PC,Linux,CLOSED,WORKSFORME,P3,normal,gtk ctrloctrl3 dialogs have shell decorations
552855,[release] polarsys.kitalpha 1.4.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release polarsyskitalpha 140
552856,Migrate polarsys download page,Eclipse Foundation,Working Groups,Polarsys,PC,Mac OS X,RESOLVED,FIXED,P3,normal,migrate polarsys download page
552857,Migrate locationtech websites to eclipse.org,Eclipse Foundation,Working Groups,LocationTech,PC,Mac OS X,RESOLVED,FIXED,P3,normal,migrate locationtech websites to eclipseorg
552859,"Change ""polarsys.polarsys.*"" project ids to ""polarsys.*"" in the foundation db",Eclipse Foundation,Community,Process,PC,Linux,RESOLVED,FIXED,P3,normal,change polarsyspolarsys project ids to polarsys in the foundation db
552860,improve adding many lines  in interface edit table,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,improve adding many lines in interface edit table
552861,Arduino Download Manager -> Selected Platforms do not install,Tools,CDT,cdt-arduino,Macintosh,Mac OS X,CLOSED,WONTFIX,P3,major,arduino download manager selected platforms do not install
552862,Where has git://git.eclipse.org/gitroot/modisco/org.eclipse.modisco.git gone?,Eclipse Foundation,Community,Git,PC,Windows 10,RESOLVED,FIXED,P3,normal,where has gitgiteclipseorggitrootmodiscoorgeclipsemodiscogit gone
552863,[GTK3] AllBrowserTests crash on Fedora 31,Eclipse Project,Platform,SWT,PC,Linux,NEW,,P3,normal,gtk3 allbrowsertests crash on fedora 31
552864,[proposal] ecd.openvsx,Eclipse Foundation,Community,Proposals and Reviews,PC,Linux,RESOLVED,FIXED,P3,normal,proposal ecdopenvsx
552865,[trademark] Trademark approval required for Eclipse Open VSX Registry,Eclipse Foundation,Community,EMO Approvals,PC,Linux,RESOLVED,FIXED,P3,normal,trademark trademark approval required for eclipse open vsx registry
552866,can we have command lsof on JDT JIRO?,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,WORKSFORME,P3,normal,can we have command lsof on jdt jiro
552867,"""<name> cannot be resolved or is not a field"" when ""Extract to local variable"" applied to field ref",Eclipse Project,JDT,Core,PC,Linux,NEW,,P3,normal,name cannot be resolved or is not a field when extract to local variable applied to field ref
552868,I20191108-1800 build failed,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,i201911081800 build failed
552869,Remove duplicate entries in markermessage.properties,Eclipse Project,PDE,API Tools,PC,Windows 7,VERIFIED,FIXED,P3,normal,remove duplicate entries in markermessageproperties
552870,[ecore] Make EcoreEnvironment::findPackage robust,Modeling,OCL,Core,PC,Windows 10,RESOLVED,FIXED,P3,normal,ecore make ecoreenvironmentfindpackage robust
552871,Bad org.eclipse.emf.ecore.generated_package registration in org.eclipse.modisco.utils.chart.metamodel,Modeling,MoDisco,Main,PC,Windows 10,RESOLVED,FIXED,P3,critical,bad orgeclipseemfecoregeneratedpackage registration in orgeclipsemodiscoutilschartmetamodel
552872,Remove workarounds for Bug 473941,Science,Statet,General,All,All,NEW,,P3,normal,remove workarounds for bug 473941
552873,Remove workarounds for Bug 405563,Science,Statet,General,All,All,CLOSED,FIXED,P3,normal,remove workarounds for bug 405563
552874,[R-Console] Content assist stops working after pressing a view toolbar button,Science,Statet,R IDE,All,All,CLOSED,FIXED,P3,normal,rconsole content assist stops working after pressing a view toolbar button
552875,[Security] Permission to create a Draft Security Advisory,Eclipse Foundation,Community,GitHub,PC,Mac OS X,CLOSED,FIXED,P3,normal,security permission to create a draft security advisory
552876,"Confusing log output like ""request to {}->http://...""",Eclipse Foundation,z_Archived,Tycho,PC,Windows 10,RESOLVED,FIXED,P3,normal,confusing log output like request to http
552877,java.lang.RuntimeException: java.lang.IllegalStateException: Service is not registered class='interface org.eclipse.tycho.core.shared.ProxyServiceFacade',Eclipse Foundation,z_Archived,Tycho,PC,Linux,NEW,,P3,normal,javalangruntimeexception javalangillegalstateexception service is not registered classinterface orgeclipsetychocoresharedproxyservicefacade
552878,[Progress] ConcurrentModificationException in FinishedJobs,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,normal,progress concurrentmodificationexception in finishedjobs
552879,"OQL enhancements for sub-selects, maps, context providers, DISTINCT",Tools,MAT,Core,PC,All,RESOLVED,FIXED,P3,enhancement,oql enhancements for subselects maps context providers distinct
552880,eclipse WB Crushes repeatedly. Appear to be an Unhandled Error on win 10 64bit,Eclipse Foundation,z_Archived,WindowBuilder,PC,Windows 10,CLOSED,DUPLICATE,P3,normal,eclipse wb crushes repeatedly appear to be an unhandled error on win 10 64bit
552881,[Passage] switch to tycho 1.5.1,Technology,Passage,General,All,All,RESOLVED,FIXED,P3,normal,passage switch to tycho 151
552882,[Model2Doc] The framework must provide an extension point to register Structure2Document generators,Modeling,Papyrus,Model2Doc,PC,Windows 10,CLOSED,FIXED,P3,normal,model2doc the framework must provide an extension point to register structure2document generators
552883,Organize Favorites dialog too small,Eclipse Project,Platform,Debug,PC,Windows 10,VERIFIED,FIXED,P3,trivial,organize favorites dialog too small
552884,[content assist] Generic constructor invocation proposal doesn't use diamond operator,Eclipse Project,JDT,Core,PC,Windows NT,NEW,,P3,normal,content assist generic constructor invocation proposal doesnt use diamond operator
552885,move data(Object data) method from ButtonFactory to AbstractWidgetFactory,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,minor,move dataobject data method from buttonfactory to abstractwidgetfactory
552886,Improve wording of new code mining for annotations,Eclipse Project,Platform,Text,PC,Windows 10,RESOLVED,FIXED,P3,enhancement,improve wording of new code mining for annotations
552887,add formatting option for referenced expressions,Eclipse Foundation,z_Archived,PDT,PC,Windows 10,CLOSED,FIXED,P3,enhancement,add formatting option for referenced expressions
552888,[formatter] Blank lines between Javadoc tags - UI,Eclipse Project,JDT,UI,PC,Windows NT,RESOLVED,FIXED,P3,normal,formatter blank lines between javadoc tags ui
552890,Index out of bound with virtual tree on selection,RT,RAP,RWT,PC,Windows 10,NEW,,P3,normal,index out of bound with virtual tree on selection
552891,"different sort order in ""Replace with"" dialog",Technology,EGit,UI,PC,Windows 10,RESOLVED,FIXED,P3,minor,different sort order in replace with dialog
552892,Move to Eclipse Platform 4.13 to get fixes for latest Java versions,Technology,CBI,p2 Repository Analyzers,PC,Linux,RESOLVED,FIXED,P3,normal,move to eclipse platform 413 to get fixes for latest java versions
552893,Activate JDT postfix completion by default,Eclipse Project,JDT,UI,PC,Linux,NEW,,P3,normal,activate jdt postfix completion by default
552894,No windows test result for I20191110-1800  build on Releng JIPP ( now on I20191119-1800),Eclipse Foundation,Community,CI-Jenkins,PC,Windows 7,CLOSED,FIXED,P3,blocker,no windows test result for i201911101800 build on releng jipp now on i201911191800
552895,Use pomless builds in eclipse.platform.debug,Eclipse Project,Platform,Debug,PC,Linux,RESOLVED,FIXED,P3,normal,use pomless builds in eclipseplatformdebug
552896,Use varargs in AbstractLaunchConfigurationTabGroup#setTabs,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,use varargs in abstractlaunchconfigurationtabgroupsettabs
552897,[runtime.c] reduce warnings using C compiler,Modeling,eTrice,Runtime,PC,Linux,RESOLVED,FIXED,P3,normal,runtimec reduce warnings using c compiler
552898,Import project reports multiple UI freezes without stack trace,Technology,EGit,UI,PC,Linux,CLOSED,DUPLICATE,P3,normal,import project reports multiple ui freezes without stack trace
552899,Unwrap palette groups if all but one tool is filtered,Modeling,Sirius,Diagram,All,All,NEW,,P3,enhancement,unwrap palette groups if all but one tool is filtered
552901,cannot add attributes to device,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,cannot add attributes to device
552902,DynamicJAXBContext handles XSD enum literals (@XmlEnumValue) incorrectly,EE4J,EclipseLink,MOXy,PC,Windows 10,NEW,,P3,major,dynamicjaxbcontext handles xsd enum literals xmlenumvalue incorrectly
552903,Add support for 2017 SUA in license checker,Technology,CBI,p2 Repository Analyzers,PC,Linux,RESOLVED,FIXED,P3,normal,add support for 2017 sua in license checker
552904,Add org.eclipse.wst.web_ui.feature to org.eclipse.epp.package.scout.product,Technology,EPP,scout-package,All,All,RESOLVED,FIXED,P3,normal,add orgeclipsewstwebuifeature to orgeclipseepppackagescoutproduct
552905,"Shorter text for ""Are you sure you want to delete ...""",Eclipse Project,JDT,UI,PC,Linux,RESOLVED,FIXED,P3,normal,shorter text for are you sure you want to delete
552906,Editor has no focus/cursor after tab switch,Eclipse Project,Platform,UI,PC,All,RESOLVED,FIXED,P3,blocker,editor has no focuscursor after tab switch
552907,[Model2Doc] The property view for Generator configuration must be improved,Modeling,Papyrus,Model2Doc,PC,Windows 10,CLOSED,FIXED,P3,normal,model2doc the property view for generator configuration must be improved
552908,Unable to access project source locations page,Technology,Babel,Server,All,All,NEW,,P3,major,unable to access project source locations page
552909,Builder API for MessageDialog,Eclipse Project,Platform,UI,PC,All,RESOLVED,FIXED,P3,normal,builder api for messagedialog
552911,"EMFCompare requires Guava < 22, release train requires >= 27",Modeling,EMFCompare,Core,PC,Windows 10,CLOSED,FIXED,P3,blocker,emfcompare requires guava 22 release train requires 27
552912,GDB debugging doesn't work with Windows10 using cygwin,Tools,CDT,cdt-debug,PC,Windows 10,NEW,,P3,major,gdb debugging doesnt work with windows10 using cygwin
552913,Pomless build with 1.5.1 results in [ERROR]   Missing requirement: test 0.0.0 requires 'org.eclipse.equinox.p2.iu;,Eclipse Foundation,z_Archived,Tycho,PC,Linux,RESOLVED,INVALID,P3,normal,pomless build with 151 results in error missing requirement test 000 requires orgeclipseequinoxp2iu
552914,Assign resource pack to project Eclipse.releng,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,FIXED,P3,normal,assign resource pack to project eclipsereleng
552915,Changing the Ctrl+X key binding in Windows and later undoing the binding does not restore original functionality.,Eclipse Project,Platform,IDE,PC,Windows 10,CLOSED,DUPLICATE,P3,enhancement,changing the ctrlx key binding in windows and later undoing the binding does not restore original functionality
552916,[Dark theme] Remove workaround for Bug 419482 from Mac css,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove workaround for bug 419482 from mac css
552917,org.eclipse.mat.ibmdumps project classpath issue,Tools,MAT,Core,All,All,RESOLVED,FIXED,P3,normal,orgeclipsematibmdumps project classpath issue
552918,[Dark theme] Form styling too dark for active parts,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme form styling too dark for active parts
552919,[formatter] Separate option for space after not (!) operator  - UI,Eclipse Project,JDT,UI,PC,Windows NT,RESOLVED,FIXED,P3,normal,formatter separate option for space after not operator ui
552920,"Debug session does not open the first file, nor will it highlight the paused line if the file is already open",Eclipse Foundation,z_Archived,PDT,PC,Windows 10,CLOSED,INVALID,P3,normal,debug session does not open the first file nor will it highlight the paused line if the file is already open
552921,[release] iot.ditto 1.0.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release iotditto 100
552922,Links to methods with generic parameters cause invalid html,Technology,Ease,Core,PC,Linux,CLOSED,FIXED,P3,normal,links to methods with generic parameters cause invalid html
552923,Remote debugging - working directory no effect,Tools,CDT,cdt-debug-dsf-gdb,PC,Linux,RESOLVED,INVALID,P3,normal,remote debugging working directory no effect
552924,Ensure PDE export works OK for a plugin project with Java14,Eclipse Project,PDE,Build,PC,Windows 7,RESOLVED,FIXED,P3,normal,ensure pde export works ok for a plugin project with java14
552925,"No documentation for ""Bundle BREE lower than dependencies""",Eclipse Project,PDE,Doc,PC,Windows 7,VERIFIED,FIXED,P3,normal,no documentation for bundle bree lower than dependencies
552926,scroll to start of diff when clicking changed file in history,Technology,EGit,UI,PC,All,NEW,,P3,enhancement,scroll to start of diff when clicking changed file in history
552928,'allow cookies' banner re-appears after every page switch,Eclipse Foundation,Community,Wiki,PC,Windows 10,RESOLVED,FIXED,P3,normal,allow cookies banner reappears after every page switch
552929,[Dark theme] Remove additional Shell styling,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove additional shell styling
552930,GitRepositoryProviderType: Defer initialization to background job,Technology,EGit,Core,All,All,ASSIGNED,,P3,normal,gitrepositoryprovidertype defer initialization to background job
552931,Adding styling for CSS spy,Eclipse Project,e4,UI,PC,Linux,RESOLVED,FIXED,P3,normal,adding styling for css spy
552932,Broken function block display,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,normal,broken function block display
552933,[Designer] Additional transformation not taken into account,Modeling,Papyrus,Designer,All,All,ASSIGNED,,P3,normal,designer additional transformation not taken into account
552934,[Dark theme] Removes themed scrollbar from default dark theme,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme removes themed scrollbar from default dark theme
552935,"Finding commands with ""find actions"" is very slow",Eclipse Project,Platform,UI,All,All,CLOSED,MOVED,P3,major,finding commands with find actions is very slow
552936,Cut and Paste a widget can't keep the original name,Eclipse Foundation,z_Archived,WindowBuilder,PC,Windows 10,RESOLVED,FIXED,P3,normal,cut and paste a widget cant keep the original name
552937,"Improve message ""no longer API""  to ""no longer an API""",Eclipse Project,PDE,UI,PC,Windows 7,VERIFIED,FIXED,P3,normal,improve message no longer api to no longer an api
552938,Remove LayoutComposite related styling,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,remove layoutcomposite related styling
552939,[OPC UA] Segmenetation fault when delete monitoring fails,IoT,4DIAC,FORTE,PC,Windows 10,CLOSED,FIXED,P3,normal,opc ua segmenetation fault when delete monitoring fails
552940,Workbench.restart() uses cached system properties and does not take the updated ini file.,Eclipse Project,Platform,Runtime,All,All,CLOSED,DUPLICATE,P3,normal,workbenchrestart uses cached system properties and does not take the updated ini file
552941,[Designer][CPP] Launched Exception during code generation process,Modeling,Papyrus,Designer,PC,Windows 10,UNCONFIRMED,,P3,normal,designercpp launched exception during code generation process
552942,[Dark theme] Remove Table[style~='SWT.DROP_DOWN'] styling,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,dark theme remove tablestyleswtdropdown styling
552943,Eclipse installed in readonly location will never use what plugins change in the eclipse.ini file,Eclipse Project,Platform,Runtime,PC,Windows 10,NEW,,P3,normal,eclipse installed in readonly location will never use what plugins change in the eclipseini file
552945,Adding a JRE should select the JRE if it is the only JRE present,Eclipse Project,JDT,Debug,PC,Windows 7,VERIFIED,FIXED,P3,normal,adding a jre should select the jre if it is the only jre present
552946,< and > characters are not escaped in Annotation values displayed in Javadoc,Eclipse Project,JDT,UI,PC,Windows 10,ASSIGNED,,P3,normal,and characters are not escaped in annotation values displayed in javadoc
552947,Rename 'System Configuration' element in System Explorer tree,IoT,4DIAC,4DIAC-IDE,All,All,NEW,,P3,normal,rename system configuration element in system explorer tree
552948,FBTester shows all comments and types in the upper left corner,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,normal,fbtester shows all comments and types in the upper left corner
552949,[JobView] Improvements for Job Factory,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,enhancement,jobview improvements for job factory
552950,CCE in Parser#consumeMethodHeaderRightParen on hover,Eclipse Project,JDT,Core,All,All,CLOSED,DUPLICATE,P3,normal,cce in parserconsumemethodheaderrightparen on hover
552951,aspectjtools.jar & aspectjweaver.jar - internal API usage in Java 11,Tools,AspectJ,Library,PC,Windows 10,NEW,,P3,critical,aspectjtoolsjar aspectjweaverjar internal api usage in java 11
552952,[Progress] KEEPONE_PROPERTY can keep more than one element in progress view,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,normal,progress keeponeproperty can keep more than one element in progress view
